Data_Type,Variable_Name,Variable_Start,Variable_End,Variable_Length,Variable_Details_1,Variable_Details_2,Variable_Details_3,Variable_Details_4
byte,hv807m,164,165,1,Month of biomarker visit,,,
int,hv807y,166,169,3,Year of biomarker visit,,,
int,hv807c,170,173,3,Date of biomarker (CMC),,,
long,hv807a,174,178,4,Date of biomarker Century Day Code (CDC),,,
byte,hv201,179,180,1,Source of drinking water,,,
byte,hv202,181,182,1,NA - Source of non-drinking water,,,
byte,hv201a,183,183,0,NA - Water not available for at least a day last two weeks,,,
int,hv204,184,186,2,Time to get to water source (minutes),,,
byte,hv205,187,188,1,Type of toilet facility,,,
byte,hv206,189,189,0,Has electricity,,,
byte,hv207,190,190,0,Has radio,,,
byte,hv208,191,191,0,Has television,,,
byte,hv209,192,192,0,Has refrigerator,,,
byte,hv210,193,193,0,Has bicycle,,,
byte,hv211,194,194,0,Has motorcycle/scooter,,,
byte,hv212,195,195,0,Has car/truck,,,
byte,hv213,196,197,1,Main floor material,,,
byte,hv214,198,199,1,Main wall material,,,
byte,hv215,200,201,1,Main roof material,,,
byte,hv216,202,203,1,Number of rooms used for sleeping,,,
byte,hv217,204,204,0,Relationship structure,,,
byte,hv218,205,206,1,Line number of head of household,,,
byte,hv219,207,207,0,Sex of head of household,,,
byte,hv220,208,209,1,Age of head of household,,,
byte,hv221,210,210,0,Has telephone (land-line),,,
byte,hv225,211,211,0,Share toilet with other households,,,
byte,hv226,212,213,1,Type of cooking fuel,,,
byte,hv227,214,214,0,Has mosquito bed net for sleeping,,,
byte,hv228,215,215,0,Children under 5 slept under mosquito bed net last night,,,
byte,hv230a,216,216,0,Place where household members wash their hands,,,
byte,hv230b,217,217,0,Presence of water at hand washing place,,,
byte,hv232,218,218,0,Items present: Soap or detergent,,,
byte,hv232b,219,219,0,Items present: Ash,mud,"sand""",
byte,hv232c,220,220,0,NA - Items present: CS,,,
byte,hv232d,221,221,0,NA - Items present: CS,,,
byte,hv232e,222,222,0,NA - Items present: CS,,,
byte,hv232y,223,223,0,Items present: None,,,
int,hv234,224,226,2,NA - Result of salt test for iodine (PPM),,,
byte,hv234a,227,227,0,Result of salt test for iodine,,,
byte,hv235,228,228,0,Location of source for water,,,
byte,hv236,229,229,0,Person fetching water,,,
byte,hv237,230,230,0,Anything done to water to make safe to drink,,,
byte,hv237a,231,231,0,Water usually treated by: boil,,,
byte,hv237b,232,232,0,Water usually treated by: add bleach/chlorine,,,
byte,hv237c,233,233,0,Water usually treated by: strain through a cloth,,,
byte,hv237d,234,234,0,Water usually treated by: use water filter,,,
byte,hv237e,235,235,0,Water usually treated by: solar disinfection,,,
byte,hv237f,236,236,0,Water usually treated by: let it stand and settle,,,
byte,hv237g,237,237,0,Water usually treated by: use alum,,,
byte,hv237h,238,238,0,Water usually treated by: electronic purifier,,,
byte,hv237i,239,239,0,NA - Water usually treated by: CS,,,
byte,hv237j,240,240,0,NA - Water usually treated by: CS,,,
byte,hv237k,241,241,0,NA - Water usually treated by: CS,,,
byte,hv237x,242,242,0,Water usually treated by: other,,,
byte,hv237z,243,243,0,Water usually treated by: don't know,,,
byte,hv238,244,245,1,Number of households sharing toilet,,,
byte,hv238a,246,246,0,Location of toilet facility,,,
byte,hv239,247,247,0,NA - Food cooked on stove or open fire,,,
byte,hv240,248,248,0,NA - Household has a chimney,"hood or neither""",,
byte,hv241,249,249,0,Food cooked in the house/ separate building/ outdoors,,,
byte,hv242,250,250,0,Household has separate room used as kitchen,,,
byte,hv243a,251,251,0,Has mobile telephone,,,
byte,hv243b,252,252,0,Has watch,,,
byte,hv243c,253,253,0,Has animal-drawn cart,,,
byte,hv243d,254,254,0,NA - Has boat with a motor,,,
byte,hv243e,255,255,0,Has a computer,,,
byte,hv244,256,256,0,Owns land usable for agriculture,,,
int,hv245,257,259,2,Hectares of agricultural land (1 decimal),,,
byte,hv246,260,260,0,Owns livestock,"herds or farm animals""",,
byte,hv246a,261,262,1,NA - Owns cattle,,,
byte,hv246b,263,264,1,NA - Owns cows/ bulls,,,
byte,hv246c,265,266,1,NA - Owns horses/ donkeys/ mules,,,
byte,hv246d,267,268,1,NA - Owns goats,,,
byte,hv246e,269,270,1,NA - Owns sheep,,,
byte,hv246f,271,272,1,NA - Owns chickens/poultry,,,
byte,hv246g,273,274,1,NA - Owns camels,,,
byte,hv246h,275,276,1,NA - Owns goats or sheep,,,
byte,hv246i,277,278,1,NA - Owns pigs,,,
byte,hv246j,279,280,1,NA - Owns CS,,,
byte,hv246k,281,282,1,NA - Owns CS,,,
byte,hv247,283,283,0,Has bank account,,,
byte,hv252,284,284,0,Frequency household members smoke inside the house,,,
byte,hv253,285,285,0,NA - Has dwelling been sprayed against mosquitoes in last 12 months,,,
byte,hv253a,286,286,0,NA - Dwelling sprayed by: government worker/program,,,
byte,hv253b,287,287,0,NA - Dwelling sprayed by: private company,,,
byte,hv253c,288,288,0,NA - Dwelling sprayed by: NGO,,,
byte,hv253d,289,289,0,NA - Dwelling sprayed by: CS,,,
byte,hv253e,290,290,0,NA - Dwelling sprayed by: CS,,,
byte,hv253f,291,291,0,NA - Dwelling sprayed by: CS,,,
byte,hv253g,292,292,0,NA - Dwelling sprayed by: CS,,,
byte,hv253h,293,293,0,NA - Dwelling sprayed by: CS,,,
byte,hv253x,294,294,0,NA - Dwelling sprayed by: other,,,
byte,hv253z,295,295,0,NA - Dwelling sprayed by: don't know,,,
byte,hv270,296,296,0,Wealth index combined,,,
long,hv271,297,304,7,Wealth index factor score combined (5 decimals),,,
byte,hv270a,305,305,0,Wealth index for urban/rural,,,
long,hv271a,306,313,7,Wealth index factor score for urban/rural (5 decimals),,,
byte,hml1,314,315,1,Number of mosquito bed nets,,,
byte,hml1a,316,316,0,Number of mosquito bed nets with specific information,,,
byte,hml2,317,318,1,Number of children under mosquito bed net previous night,,,
byte,chl0,319,320,1,NA - Number of de-jure children 5-14 for child labor module,,,
int,shdist,321,323,2,District number,,,
long,shweight,324,331,7,Household weight (6 decimals) (state level),,,
long,shmweight,332,339,7,Household weight - male subsample (6 decimals) (state level),,,
byte,shdbs,340,340,0,Eligiblity for DBS collection,,,
byte,sh28,341,341,0,Does any usual resident of your household suffer from tuberculosis?,,,
byte,sh29a,342,343,1,Person 01: Who suffer from tuberculosis (Line number),,,
byte,sh29a1,344,344,0,Person 01: Where medical treatment was received?,,,
byte,sh29b,345,346,1,Person 02: Who suffer from tuberculosis (Line number),,,
byte,sh29b1,347,347,0,Person 02: Where medical treatment was received?,,,
byte,sh29c,348,349,1,Person 03: Who suffer from tuberculosis (Line number),,,
byte,sh29c1,350,350,0,Person 03: Where medical treatment was received?,,,
byte,sh29d,351,352,1,Person 04: Who suffer from tuberculosis (Line number),,,
byte,sh29d1,353,353,0,Person 04: Where medical treatment was received?,,,
byte,sh31,354,354,0,Does any member of this household including you have any disability?,,,
byte,sh33a,355,356,1,Person 01: Who suffer from disability (Line number),,,
byte,sh33b,357,358,1,Person 02: Who suffer from disability (Line number),,,
byte,sh33c,359,360,1,Person 03: Who suffer from disability (Line number),,,
byte,sh33d,361,362,1,Person 04: Who suffer from disability (Line number),,,
byte,sh33a1a,363,363,0,Person 01: Disablity - hearing,,,
byte,sh33a1b,364,364,0,Person 01: Disablity - speech,,,
byte,sh33a1c,365,365,0,Person 01: Disablity - visual,,,
byte,sh33a1d,366,366,0,Person 01: Disablity - mental,,,
byte,sh33a1e,367,367,0,Person 01: Disablity - locomotor,,,
byte,sh33a1x,368,368,0,Person 01: Disablity - other,,,
byte,sh33b1a,369,369,0,Person 02: Disablity - hearing,,,
byte,sh33b1b,370,370,0,Person 02: Disablity - speech,,,
byte,sh33b1c,371,371,0,Person 02: Disablity - visual,,,
byte,sh33b1d,372,372,0,Person 02: Disablity - mental,,,
byte,sh33b1e,373,373,0,Person 02: Disablity - locomotor,,,
byte,sh33b1x,374,374,0,Person 02: Disablity - other,,,
byte,sh33c1a,375,375,0,Person 03: Disablity - hearing,,,
byte,sh33c1b,376,376,0,Person 03: Disablity - speech,,,
byte,sh33c1c,377,377,0,Person 03: Disablity - visual,,,
byte,sh33c1d,378,378,0,Person 03: Disablity - mental,,,
byte,sh33c1e,379,379,0,Person 03: Disablity - locomotor,,,
byte,sh33c1x,380,380,0,Person 03: Disablity - other,,,
byte,sh33d1a,381,381,0,Person 04: Disablity - hearing,,,
byte,sh33d1b,382,382,0,Person 04: Disablity - speech,,,
byte,sh33d1c,383,383,0,Person 04: Disablity - visual,,,
byte,sh33d1d,384,384,0,Person 04: Disablity - mental,,,
byte,sh33d1e,385,385,0,Person 04: Disablity - locomotor,,,
byte,sh33d1x,386,386,0,Person 04: Disablity - other,,,
byte,sh37b,387,387,0,In the past two weeks,"was the water from this source not available for at least""",,
byte,sh44,388,388,0,Do member of your household have access to a toilet facility?,,,
byte,sh45,389,389,0,What kind of toilet facility do members of your household have access to?,,,
byte,sh46,390,390,0,What type of drainage facility does this household have?,,,
byte,sh47,391,392,1,What is the religion of the head of the household?,,,
int,sh48,393,395,2,What is the caste or tribe of the head of the household?,,,
byte,sh49,396,396,0,Is this a scheduled caste,a scheduled tribe,other backward class,"or none of t"""
byte,sh50b,397,397,0,Mattress,,,
byte,sh50c,398,398,0,Pressure cooker,,,
byte,sh50d,399,399,0,Chair,,,
byte,sh50e,400,400,0,Cot or bed,,,
byte,sh50f,401,401,0,Table,,,
byte,sh50g,402,402,0,Electric fan,,,
byte,sh50i,403,403,0,Black and white television,,,
byte,sh50j,404,404,0,Colour television,,,
byte,sh50k,405,405,0,Sewing machine,,,
byte,sh50n,406,406,0,Internet,,,
byte,sh50q,407,407,0,Air conditioner/cooler,,,
byte,sh50r,408,408,0,Washing machine,,,
byte,sh50x,409,409,0,Water pump,,,
byte,sh50y,410,410,0,Thresher,,,
byte,sh50z,411,411,0,Tractor,,,
byte,sh52,412,412,0,In this household,is food cooked on a stove,"a chullah or an open fire?""",
byte,sh55,413,413,0,Does the room used as kitchen have any ventalation?,,,
byte,sh56a,414,414,0,Dispose the kitchen waste - let out into drain/sewer,,,
byte,sh56b,415,415,0,Dispose the kitchen waste - open drain,,,
byte,sh56c,416,416,0,Dispose the kitchen waste - closed drain,,,
byte,sh56d,417,417,0,Dispose the kitchen waste - reuse for garden or farming,,,
byte,sh56e,418,418,0,Dispose the kitchen waste - reuse for other domestic purposes,,,
byte,sh56f,419,419,0,Dispose the kitchen waste - manual collection,,,
byte,sh56x,420,420,0,Dispose the kitchen waste - other,,,
byte,sh61,421,421,0,Does this household own this house or any other house?,,,
byte,sh62,422,422,0,Who owns the house?,,,
byte,sh64,423,423,0,Who owns this agricultural land?,,,
long,sh66,424,429,5,Out of this land,"how much is irrigated?""",,
byte,sh67a,430,430,0,Cows / bulls / buffaloes / yaks,,,
byte,sh67b,431,431,0,Camels,,,
byte,sh67c,432,432,0,Horses / donkeys / mules,,,
byte,sh67d,433,433,0,Goats or Sheep,,,
byte,sh67e,434,434,0,Pigs,,,
byte,sh67f,435,435,0,Chickens / ducks,,,
byte,sh69,436,436,0,Does this household share any sleeping room with this(these) animal(s)?,,,
byte,sh71,437,437,0,Is any usual member of this household covered by a health scheme or health insur,,,
byte,sh72a,438,438,0,Health insurance or scheme: Employees State Insurance Scheme,,,
byte,sh72b,439,439,0,Health insurance or scheme: Central Government Health Scheme,,,
byte,sh72c,440,440,0,Health insurance or scheme: State Health Insurance Scheme,,,
byte,sh72d,441,441,0,Health insurance or scheme: Rashtriya Swasthya Bima Yojana,,,
byte,sh72e,442,442,0,Health insurance or scheme: Community Health Insurance Programme,,,
byte,sh72f,443,443,0,Health insurance or scheme: other health insurance through employer,,,
byte,sh72g,444,444,0,Health insurance or scheme: medical reimbersement from employer,,,
byte,sh72h,445,445,0,Health insurance or scheme: other privately purchased commercial health insuranc,,,
byte,sh72x,446,446,0,Health insurance or scheme: other,,,
byte,sh73,447,448,1,When members of your household get sick,"where do they generally go for treatmen""",,
byte,sh74a,449,449,0,Reason not going to a government facility for sickness: no nearby facility,,,
byte,sh74b,450,450,0,Reason not going to a government facility for sickness: facility timing not conv,,,
byte,sh74c,451,451,0,Reason not going to a government facility for sickness: heatlh personnel often a,,,
byte,sh74d,452,452,0,Reason not going to a government facility for sickness: waiting time too long,,,
byte,sh74e,453,453,0,Reason not going to a government facility for sickness: poor quality of care,,,
byte,sh74x,454,454,0,Reason not going to a government facility for sickness: other,,,
byte,sh75,455,455,0,Does this household have a BPL card?,,,
byte,sh87,456,456,0,Did any usual member of this household die since January 2011?,,,
byte,sh88,457,458,1,Total number of deaths,,,
byte,shnfhs2,459,459,0,House type (as defined in NFHS-2 and 3),,,
byte,shstruc,460,460,0,Household structure,,,
byte,sv270s,461,461,0,Wealth index within state,,,
long,sv271s,462,469,7,Wealth index factor score within state (5 decimals),,,
byte,sv270us,470,470,0,Wealth index - urban within state,,,
long,sv271us,471,478,7,Wealth index factor score (5 decimals) - urban,,,
byte,sv270rs,479,479,0,Wealth index - rural within state,,,
long,sv271rs,480,487,7,Wealth index factor score (5 decimals) - rural,,,
byte,shcrefuse,488,488,0,Questionnaire refusal due to COVID-19,,,
byte,hvidx_01,489,490,1,Line number,,,
byte,hvidx_02,491,492,1,Line number,,,
byte,hvidx_03,493,494,1,Line number,,,
byte,hvidx_04,495,496,1,Line number,,,
byte,hvidx_05,497,498,1,Line number,,,
byte,hvidx_06,499,500,1,Line number,,,
byte,hvidx_07,501,502,1,Line number,,,
byte,hvidx_08,503,504,1,Line number,,,
byte,hvidx_09,505,506,1,Line number,,,
byte,hvidx_10,507,508,1,Line number,,,
byte,hvidx_11,509,510,1,Line number,,,
byte,hvidx_12,511,512,1,Line number,,,
byte,hvidx_13,513,514,1,Line number,,,
byte,hvidx_14,515,516,1,Line number,,,
byte,hvidx_15,517,518,1,Line number,,,
byte,hvidx_16,519,520,1,Line number,,,
byte,hvidx_17,521,522,1,Line number,,,
byte,hvidx_18,523,524,1,Line number,,,
byte,hvidx_19,525,526,1,Line number,,,
byte,hvidx_20,527,528,1,Line number,,,
byte,hvidx_21,529,530,1,Line number,,,
byte,hvidx_22,531,532,1,Line number,,,
byte,hvidx_23,533,534,1,Line number,,,
byte,hvidx_24,535,536,1,Line number,,,
byte,hvidx_25,537,538,1,Line number,,,
byte,hvidx_26,539,540,1,Line number,,,
byte,hvidx_27,541,542,1,Line number,,,
byte,hvidx_28,543,544,1,Line number,,,
byte,hvidx_29,545,546,1,Line number,,,
byte,hvidx_30,547,548,1,Line number,,,
byte,hvidx_31,549,550,1,Line number,,,
byte,hvidx_32,551,552,1,Line number,,,
byte,hvidx_33,553,554,1,Line number,,,
byte,hvidx_34,555,556,1,Line number,,,
byte,hvidx_35,557,558,1,Line number,,,
byte,hv101_01,559,560,1,Relationship to head,,,
byte,hv101_02,561,562,1,Relationship to head,,,
byte,hv101_03,563,564,1,Relationship to head,,,
byte,hv101_04,565,566,1,Relationship to head,,,
byte,hv101_05,567,568,1,Relationship to head,,,
byte,hv101_06,569,570,1,Relationship to head,,,
byte,hv101_07,571,572,1,Relationship to head,,,
byte,hv101_08,573,574,1,Relationship to head,,,
byte,hv101_09,575,576,1,Relationship to head,,,
byte,hv101_10,577,578,1,Relationship to head,,,
byte,hv101_11,579,580,1,Relationship to head,,,
byte,hv101_12,581,582,1,Relationship to head,,,
byte,hv101_13,583,584,1,Relationship to head,,,
byte,hv101_14,585,586,1,Relationship to head,,,
byte,hv101_15,587,588,1,Relationship to head,,,
byte,hv101_16,589,590,1,Relationship to head,,,
byte,hv101_17,591,592,1,Relationship to head,,,
byte,hv101_18,593,594,1,Relationship to head,,,
byte,hv101_19,595,596,1,Relationship to head,,,
byte,hv101_20,597,598,1,Relationship to head,,,
byte,hv101_21,599,600,1,Relationship to head,,,
byte,hv101_22,601,602,1,Relationship to head,,,
byte,hv101_23,603,604,1,Relationship to head,,,
byte,hv101_24,605,606,1,Relationship to head,,,
byte,hv101_25,607,608,1,Relationship to head,,,
byte,hv101_26,609,610,1,Relationship to head,,,
byte,hv101_27,611,612,1,Relationship to head,,,
byte,hv101_28,613,614,1,Relationship to head,,,
byte,hv101_29,615,616,1,Relationship to head,,,
byte,hv101_30,617,618,1,Relationship to head,,,
byte,hv101_31,619,620,1,Relationship to head,,,
byte,hv101_32,621,622,1,Relationship to head,,,
byte,hv101_33,623,624,1,Relationship to head,,,
byte,hv101_34,625,626,1,Relationship to head,,,
byte,hv101_35,627,628,1,Relationship to head,,,
byte,hv102_01,629,629,0,Usual resident,,,
byte,hv102_02,630,630,0,Usual resident,,,
byte,hv102_03,631,631,0,Usual resident,,,
byte,hv102_04,632,632,0,Usual resident,,,
byte,hv102_05,633,633,0,Usual resident,,,
byte,hv102_06,634,634,0,Usual resident,,,
byte,hv102_07,635,635,0,Usual resident,,,
byte,hv102_08,636,636,0,Usual resident,,,
byte,hv102_09,637,637,0,Usual resident,,,
byte,hv102_10,638,638,0,Usual resident,,,
byte,hv102_11,639,639,0,Usual resident,,,
byte,hv102_12,640,640,0,Usual resident,,,
byte,hv102_13,641,641,0,Usual resident,,,
byte,hv102_14,642,642,0,Usual resident,,,
byte,hv102_15,643,643,0,Usual resident,,,
byte,hv102_16,644,644,0,Usual resident,,,
byte,hv102_17,645,645,0,Usual resident,,,
byte,hv102_18,646,646,0,Usual resident,,,
byte,hv102_19,647,647,0,Usual resident,,,
byte,hv102_20,648,648,0,Usual resident,,,
byte,hv102_21,649,649,0,Usual resident,,,
byte,hv102_22,650,650,0,Usual resident,,,
byte,hv102_23,651,651,0,Usual resident,,,
byte,hv102_24,652,652,0,Usual resident,,,
byte,hv102_25,653,653,0,Usual resident,,,
byte,hv102_26,654,654,0,Usual resident,,,
byte,hv102_27,655,655,0,Usual resident,,,
byte,hv102_28,656,656,0,Usual resident,,,
byte,hv102_29,657,657,0,Usual resident,,,
byte,hv102_30,658,658,0,Usual resident,,,
byte,hv102_31,659,659,0,Usual resident,,,
byte,hv102_32,660,660,0,Usual resident,,,
byte,hv102_33,661,661,0,Usual resident,,,
byte,hv102_34,662,662,0,Usual resident,,,
byte,hv102_35,663,663,0,Usual resident,,,
byte,hv103_01,664,664,0,Slept last night,,,
byte,hv103_02,665,665,0,Slept last night,,,
byte,hv103_03,666,666,0,Slept last night,,,
byte,hv103_04,667,667,0,Slept last night,,,
byte,hv103_05,668,668,0,Slept last night,,,
byte,hv103_06,669,669,0,Slept last night,,,
byte,hv103_07,670,670,0,Slept last night,,,
byte,hv103_08,671,671,0,Slept last night,,,
byte,hv103_09,672,672,0,Slept last night,,,
byte,hv103_10,673,673,0,Slept last night,,,
byte,hv103_11,674,674,0,Slept last night,,,
byte,hv103_12,675,675,0,Slept last night,,,
byte,hv103_13,676,676,0,Slept last night,,,
byte,hv103_14,677,677,0,Slept last night,,,
byte,hv103_15,678,678,0,Slept last night,,,
byte,hv103_16,679,679,0,Slept last night,,,
byte,hv103_17,680,680,0,Slept last night,,,
byte,hv103_18,681,681,0,Slept last night,,,
byte,hv103_19,682,682,0,Slept last night,,,
byte,hv103_20,683,683,0,Slept last night,,,
byte,hv103_21,684,684,0,Slept last night,,,
byte,hv103_22,685,685,0,Slept last night,,,
byte,hv103_23,686,686,0,Slept last night,,,
byte,hv103_24,687,687,0,Slept last night,,,
byte,hv103_25,688,688,0,Slept last night,,,
byte,hv103_26,689,689,0,Slept last night,,,
byte,hv103_27,690,690,0,Slept last night,,,
byte,hv103_28,691,691,0,Slept last night,,,
byte,hv103_29,692,692,0,Slept last night,,,
byte,hv103_30,693,693,0,Slept last night,,,
byte,hv103_31,694,694,0,Slept last night,,,
byte,hv103_32,695,695,0,Slept last night,,,
byte,hv103_33,696,696,0,Slept last night,,,
byte,hv103_34,697,697,0,Slept last night,,,
byte,hv103_35,698,698,0,Slept last night,,,
byte,hv104_01,699,699,0,Sex of household member,,,
byte,hv104_02,700,700,0,Sex of household member,,,
byte,hv104_03,701,701,0,Sex of household member,,,
byte,hv104_04,702,702,0,Sex of household member,,,
byte,hv104_05,703,703,0,Sex of household member,,,
byte,hv104_06,704,704,0,Sex of household member,,,
byte,hv104_07,705,705,0,Sex of household member,,,
byte,hv104_08,706,706,0,Sex of household member,,,
byte,hv104_09,707,707,0,Sex of household member,,,
byte,hv104_10,708,708,0,Sex of household member,,,
byte,hv104_11,709,709,0,Sex of household member,,,
byte,hv104_12,710,710,0,Sex of household member,,,
byte,hv104_13,711,711,0,Sex of household member,,,
byte,hv104_14,712,712,0,Sex of household member,,,
byte,hv104_15,713,713,0,Sex of household member,,,
byte,hv104_16,714,714,0,Sex of household member,,,
byte,hv104_17,715,715,0,Sex of household member,,,
byte,hv104_18,716,716,0,Sex of household member,,,
byte,hv104_19,717,717,0,Sex of household member,,,
byte,hv104_20,718,718,0,Sex of household member,,,
byte,hv104_21,719,719,0,Sex of household member,,,
byte,hv104_22,720,720,0,Sex of household member,,,
byte,hv104_23,721,721,0,Sex of household member,,,
byte,hv104_24,722,722,0,Sex of household member,,,
byte,hv104_25,723,723,0,Sex of household member,,,
byte,hv104_26,724,724,0,Sex of household member,,,
byte,hv104_27,725,725,0,Sex of household member,,,
byte,hv104_28,726,726,0,Sex of household member,,,
byte,hv104_29,727,727,0,Sex of household member,,,
byte,hv104_30,728,728,0,Sex of household member,,,
byte,hv104_31,729,729,0,Sex of household member,,,
byte,hv104_32,730,730,0,Sex of household member,,,
byte,hv104_33,731,731,0,Sex of household member,,,
byte,hv104_34,732,732,0,Sex of household member,,,
byte,hv104_35,733,733,0,Sex of household member,,,
byte,hv105_01,734,735,1,Age of household members,,,
byte,hv105_02,736,737,1,Age of household members,,,
byte,hv105_03,738,739,1,Age of household members,,,
byte,hv105_04,740,741,1,Age of household members,,,
byte,hv105_05,742,743,1,Age of household members,,,
byte,hv105_06,744,745,1,Age of household members,,,
byte,hv105_07,746,747,1,Age of household members,,,
byte,hv105_08,748,749,1,Age of household members,,,
byte,hv105_09,750,751,1,Age of household members,,,
byte,hv105_10,752,753,1,Age of household members,,,
byte,hv105_11,754,755,1,Age of household members,,,
byte,hv105_12,756,757,1,Age of household members,,,
byte,hv105_13,758,759,1,Age of household members,,,
byte,hv105_14,760,761,1,Age of household members,,,
byte,hv105_15,762,763,1,Age of household members,,,
byte,hv105_16,764,765,1,Age of household members,,,
byte,hv105_17,766,767,1,Age of household members,,,
byte,hv105_18,768,769,1,Age of household members,,,
byte,hv105_19,770,771,1,Age of household members,,,
byte,hv105_20,772,773,1,Age of household members,,,
byte,hv105_21,774,775,1,Age of household members,,,
byte,hv105_22,776,777,1,Age of household members,,,
byte,hv105_23,778,779,1,Age of household members,,,
byte,hv105_24,780,781,1,Age of household members,,,
byte,hv105_25,782,783,1,Age of household members,,,
byte,hv105_26,784,785,1,Age of household members,,,
byte,hv105_27,786,787,1,Age of household members,,,
byte,hv105_28,788,789,1,Age of household members,,,
byte,hv105_29,790,791,1,Age of household members,,,
byte,hv105_30,792,793,1,Age of household members,,,
byte,hv105_31,794,795,1,Age of household members,,,
byte,hv105_32,796,797,1,Age of household members,,,
byte,hv105_33,798,799,1,Age of household members,,,
byte,hv105_34,800,801,1,Age of household members,,,
byte,hv105_35,802,803,1,Age of household members,,,
byte,hv106_01,804,804,0,Highest educational level attained,,,
byte,hv106_02,805,805,0,Highest educational level attained,,,
byte,hv106_03,806,806,0,Highest educational level attained,,,
byte,hv106_04,807,807,0,Highest educational level attained,,,
byte,hv106_05,808,808,0,Highest educational level attained,,,
byte,hv106_06,809,809,0,Highest educational level attained,,,
byte,hv106_07,810,810,0,Highest educational level attained,,,
byte,hv106_08,811,811,0,Highest educational level attained,,,
byte,hv106_09,812,812,0,Highest educational level attained,,,
byte,hv106_10,813,813,0,Highest educational level attained,,,
byte,hv106_11,814,814,0,Highest educational level attained,,,
byte,hv106_12,815,815,0,Highest educational level attained,,,
byte,hv106_13,816,816,0,Highest educational level attained,,,
byte,hv106_14,817,817,0,Highest educational level attained,,,
byte,hv106_15,818,818,0,Highest educational level attained,,,
byte,hv106_16,819,819,0,Highest educational level attained,,,
byte,hv106_17,820,820,0,Highest educational level attained,,,
byte,hv106_18,821,821,0,Highest educational level attained,,,
byte,hv106_19,822,822,0,Highest educational level attained,,,
byte,hv106_20,823,823,0,Highest educational level attained,,,
byte,hv106_21,824,824,0,Highest educational level attained,,,
byte,hv106_22,825,825,0,Highest educational level attained,,,
byte,hv106_23,826,826,0,Highest educational level attained,,,
byte,hv106_24,827,827,0,Highest educational level attained,,,
byte,hv106_25,828,828,0,Highest educational level attained,,,
byte,hv106_26,829,829,0,Highest educational level attained,,,
byte,hv106_27,830,830,0,Highest educational level attained,,,
byte,hv106_28,831,831,0,Highest educational level attained,,,
byte,hv106_29,832,832,0,Highest educational level attained,,,
byte,hv106_30,833,833,0,Highest educational level attained,,,
byte,hv106_31,834,834,0,Highest educational level attained,,,
byte,hv106_32,835,835,0,Highest educational level attained,,,
byte,hv106_33,836,836,0,Highest educational level attained,,,
byte,hv106_34,837,837,0,Highest educational level attained,,,
byte,hv106_35,838,838,0,Highest educational level attained,,,
byte,hv107_01,839,840,1,Highest year of education completed,,,
byte,hv107_02,841,842,1,Highest year of education completed,,,
byte,hv107_03,843,844,1,Highest year of education completed,,,
